t_ms,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pitch,Roll,Sign
973500,2894,2747,2968,2618,2456,0,0,0,0,0,0,0,0,3
973511,2902,2738,2972,2625,2461,0,0,0,0,0,0,0,0,3
973545,2894,2729,2957,2613,2450,0,0,0,0,0,0,0,0,3
973592,2904,2741,2961,2618,2437,0,0,0,0,0,0,0,0,3
973602,2895,2744,2963,2622,2443,0,0,0,0,0,0,0,0,3
973635,2901,2734,2966,2620,2453,0,0,0,0,0,0,0,0,3
973646,2900,2744,2972,2626,2460,0,0,0,0,0,0,0,0,3
973680,2897,2738,2964,2610,2446,0,0,0,0,0,0,0,0,3
973691,2901,2740,2968,2614,2447,0,0,0,0,0,0,0,0,3
973725,2899,2727,2967,2624,2453,0,0,0,0,0,0,0,0,3
973736,2897,2738,2962,2617,2445,0,0,0,0,0,0,0,0,3
973770,2900,2740,2968,2624,2457,0,0,0,0,0,0,0,0,3
973781,2900,2739,2963,2608,2463,0,0,0,0,0,0,0,0,3
973815,2895,2752,2971,2612,2445,0,0,0,0,0,0,0,0,3
973826,2889,2747,2962,2608,2445,0,0,0,0,0,0,0,0,3
973860,2903,2735,2960,2618,2437,0,0,0,0,0,0,0,0,3
973871,2901,2738,2965,2613,2430,0,0,0,0,0,0,0,0,3
973905,2904,2744,2969,2619,2451,0,0,0,0,0,0,0,0,3
973916,2904,2743,2965,2636,2444,0,0,0,0,0,0,0,0,3
973950,2903,2744,2963,2624,2451,0,0,0,0,0,0,0,0,3
973961,2901,2746,2958,2618,2454,0,0,0,0,0,0,0,0,3
973995,2903,2736,2960,2624,2457,0,0,0,0,0,0,0,0,3
974006,2904,2736,2962,2620,2450,0,0,0,0,0,0,0,0,3
974040,2891,2740,2964,2618,2433,0,0,0,0,0,0,0,0,3
974051,2897,2741,2963,2605,2453,0,0,0,0,0,0,0,0,3
974085,2899,2737,2969,2621,2445,0,0,0,0,0,0,0,0,3
974096,2899,2745,2960,2617,2453,0,0,0,0,0,0,0,0,3
974130,2891,2739,2960,2617,2463,0,0,0,0,0,0,0,0,3
974141,2895,2744,2964,2614,2439,0,0,0,0,0,0,0,0,3
974175,2910,2736,2962,2626,2448,0,0,0,0,0,0,0,0,3
974186,2907,2736,2967,2616,2450,0,0,0,0,0,0,0,0,3
974220,2901,2740,2968,2626,2451,0,0,0,0,0,0,0,0,3
974231,2895,2746,2961,2623,2451,0,0,0,0,0,0,0,0,3
974265,2907,2742,2968,2612,2460,0,0,0,0,0,0,0,0,3
974276,2900,2745,2963,2623,2448,0,0,0,0,0,0,0,0,3
974310,2899,2739,2961,2620,2449,0,0,0,0,0,0,0,0,3
974321,2900,2736,2967,2624,2454,0,0,0,0,0,0,0,0,3
974355,2904,2746,2962,2615,2439,0,0,0,0,0,0,0,0,3
974366,2892,2740,2959,2618,2430,0,0,0,0,0,0,0,0,3
974400,2898,2739,2961,2619,2454,0,0,0,0,0,0,0,0,3
974411,2909,2733,2966,2625,2443,0,0,0,0,0,0,0,0,3
974445,2905,2741,2966,2621,2455,0,0,0,0,0,0,0,0,3
974456,2897,2744,2964,2623,2459,0,0,0,0,0,0,0,0,3
974490,2903,2735,2964,2618,2454,0,0,0,0,0,0,0,0,3
974501,2905,2750,2968,2626,2447,0,0,0,0,0,0,0,0,3
974535,2903,2733,2965,2612,2443,0,0,0,0,0,0,0,0,3
974546,2897,2736,2960,2621,2447,0,0,0,0,0,0,0,0,3
974580,2904,2735,2966,2617,2462,0,0,0,0,0,0,0,0,3
974591,2898,2737,2964,2613,2444,0,0,0,0,0,0,0,0,3
974625,2901,2739,2960,2618,2443,0,0,0,0,0,0,0,0,3
974636,2906,2733,2976,2620,2465,0,0,0,0,0,0,0,0,3
974670,2907,2744,2968,2631,2448,0,0,0,0,0,0,0,0,3
974681,2903,2744,2958,2615,2450,0,0,0,0,0,0,0,0,3
974715,2901,2740,2964,2624,2445,0,0,0,0,0,0,0,0,3
974726,2898,2739,2968,2620,2448,0,0,0,0,0,0,0,0,3
