t_ms,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pitch,Roll
121489,-2,-3,1,1,3,481,11,8209,-45,-33,-12,-3353,76
121501,-1,4,4,-1,0,536,38,8192,-41,-31,-7,-3743,265
121513,7,2,3,-1,2,548,23,8216,-48,-30,-5,-3815,160
121552,-1,3,5,-3,-1,421,7,8192,-47,-32,-9,-2941,48
121564,4,5,4,8,-1,579,-28,8224,-47,-31,-7,-4027,-195
121576,-5,-2,-1,0,-1,550,-4,8152,-47,-32,-10,-3859,-28
121612,6,0,-2,-1,1,507,33,8173,-47,-31,-8,-3549,231
121624,3,0,-1,0,8,550,-2,8176,-44,-31,-7,-3848,-14
121636,-4,1,1,4,-1,502,43,8200,-45,-32,-7,-3503,300
121735,2,-1,-1,-1,37,553,43,8207,-47,-34,-4,-3854,300
121750,-5,8,1,-1,2,538,43,8221,-46,-30,-8,-3744,299
121765,-2,3,-1,2,-1,519,45,8219,-46,-31,-5,-3613,313
121780,-1,-3,-1,4,0,505,-47,8233,-47,-30,-3,-3509,-327
121795,1,-2,5,2,6,593,4,8212,-47,-33,-9,-4130,27
121810,-3,8,0,-2,2,524,74,8118,-46,-33,-8,-3693,522
121825,1,-3,-1,8,4,476,7,8192,-48,-34,-8,-3325,48
121840,1,-2,-1,1,2,502,-19,8209,-43,-30,-5,-3499,-132
121855,-1,6,0,-1,1,562,45,8190,-45,-29,-11,-3925,314
121870,-5,4,4,2,-1,495,-9,8303,-49,-31,-5,-3411,-62
121885,-1,2,2,8,2,524,-28,8248,-45,-34,-9,-3635,-194
121900,6,1,1,-1,5,495,-62,8315,-47,-31,-6,-3406,-427
121915,7,4,4,-1,-1,598,0,8243,-48,-33,-5,-4149,0
121930,3,-3,7,4,2,517,16,8236,-47,-33,-7,-3591,111
121945,-1,-2,-3,3,1,550,0,8178,-47,-34,-9,-3847,0
121960,-5,-1,8,5,2,521,35,8219,-43,-30,-2,-3627,243
121989,-3,6,0,0,5,495,74,8159,-46,-32,-7,-3471,519
122004,4,-1,3,1,3,543,2,8149,-47,-33,-7,-3812,14
122019,-1,-1,1,-1,4,509,-31,8185,-48,-33,-9,-3558,-217
122034,-1,-3,-1,8,8,495,40,8145,-48,-26,-5,-3477,281
122049,1,0,-5,2,2,486,-31,8140,-48,-31,-7,-3416,-218
122064,-1,0,2,1,-1,507,33,8109,-45,-30,-4,-3577,233
122079,2,2,1,-1,2,565,-76,8142,-44,-28,-4,-3969,-534
122094,4,8,7,2,1,471,4,8195,-49,-31,-5,-3289,27
122109,1,1,2,2,-1,464,0,8137,-47,-31,-7,-3263,0
122124,8,1,4,2,4,526,-2,8248,-45,-32,-11,-3648,-13
122139,3,-2,1,-1,1,512,-19,8118,-48,-32,-8,-3608,-134
122154,2,0,-1,2,9,524,-16,8140,-46,-32,-10,-3683,-112
122169,-3,-1,0,4,3,476,19,8204,-48,-32,-6,-3320,132
122184,0,-5,1,1,-2,478,23,8286,-43,-31,-7,-3301,159
122199,0,8,-5,-2,1,507,35,8262,-48,-29,-9,-3511,242
122214,4,1,0,5,1,524,19,8207,-44,-29,-6,-3653,132
