t_ms,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pitch,Roll,Sign
499837,2791,1789,2472,2572,2319,0,0,0,0,0,0,0,0,A
499847,2793,1795,2477,2560,2323,0,0,0,0,0,0,0,0,A
499882,2794,1775,2476,2569,2334,0,0,0,0,0,0,0,0,A
499892,2784,1778,2490,2571,2327,0,0,0,0,0,0,0,0,A
499927,2792,1772,2474,2575,2334,0,0,0,0,0,0,0,0,A
499937,2805,1771,2479,2566,2333,0,0,0,0,0,0,0,0,A
499972,2795,1790,2480,2566,2326,0,0,0,0,0,0,0,0,A
499982,2789,1769,2484,2567,2340,0,0,0,0,0,0,0,0,A
500017,2785,1760,2471,2560,2323,0,0,0,0,0,0,0,0,A
500027,2792,1785,2468,2565,2344,0,0,0,0,0,0,0,0,A
500062,2786,1772,2471,2564,2334,0,0,0,0,0,0,0,0,A
500072,2789,1794,2471,2560,2328,0,0,0,0,0,0,0,0,A
500107,2785,1769,2474,2565,2331,0,0,0,0,0,0,0,0,A
500117,2788,1770,2480,2559,2325,0,0,0,0,0,0,0,0,A
500152,2788,1781,2476,2566,2337,0,0,0,0,0,0,0,0,A
500162,2802,1793,2478,2567,2304,0,0,0,0,0,0,0,0,A
500197,2793,1779,2478,2565,2350,0,0,0,0,0,0,0,0,A
500207,2788,1775,2475,2561,2333,0,0,0,0,0,0,0,0,A
500242,2787,1775,2475,2561,2335,0,0,0,0,0,0,0,0,A
500252,2802,1776,2474,2577,2331,0,0,0,0,0,0,0,0,A
500287,2792,1779,2477,2567,2325,0,0,0,0,0,0,0,0,A
500297,2804,1790,2466,2560,2337,0,0,0,0,0,0,0,0,A
500332,2783,1784,2480,2572,2331,0,0,0,0,0,0,0,0,A
500342,2796,1771,2475,2571,2329,0,0,0,0,0,0,0,0,A
500377,2784,1775,2463,2569,2311,0,0,0,0,0,0,0,0,A
500387,2790,1783,2485,2566,2339,0,0,0,0,0,0,0,0,A
500422,2797,1781,2484,2575,2346,0,0,0,0,0,0,0,0,A
500432,2792,1763,2478,2556,2336,0,0,0,0,0,0,0,0,A
500467,2781,1768,2461,2563,2314,0,0,0,0,0,0,0,0,A
500477,2792,1783,2480,2547,2331,0,0,0,0,0,0,0,0,A
500512,2797,1789,2470,2573,2335,0,0,0,0,0,0,0,0,A
500522,2792,1773,2475,2571,2307,0,0,0,0,0,0,0,0,A
500557,2791,1776,2487,2565,2325,0,0,0,0,0,0,0,0,A
500567,2787,1757,2482,2572,2319,0,0,0,0,0,0,0,0,A
500602,2795,1781,2479,2569,2335,0,0,0,0,0,0,0,0,A
500612,2783,1771,2479,2558,2332,0,0,0,0,0,0,0,0,A
