t_ms,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pitch,Roll,Sign
558201,2568,2732,2967,2970,2802,0,0,0,0,0,0,0,0,B
558211,2569,2729,2979,2968,2813,0,0,0,0,0,0,0,0,B
558246,2562,2729,2967,2959,2800,0,0,0,0,0,0,0,0,B
558256,2564,2728,2967,2969,2805,0,0,0,0,0,0,0,0,B
558291,2568,2736,2970,2976,2809,0,0,0,0,0,0,0,0,B
558301,2566,2726,2980,2967,2800,0,0,0,0,0,0,0,0,B
558336,2557,2737,2981,2974,2807,0,0,0,0,0,0,0,0,B
558346,2567,2744,2975,2967,2802,0,0,0,0,0,0,0,0,B
558381,2563,2727,2983,2974,2801,0,0,0,0,0,0,0,0,B
558391,2572,2723,2981,2977,2799,0,0,0,0,0,0,0,0,B
558426,2568,2727,2970,2965,2798,0,0,0,0,0,0,0,0,B
558436,2574,2731,2975,2971,2800,0,0,0,0,0,0,0,0,B
558471,2566,2726,2976,2963,2803,0,0,0,0,0,0,0,0,B
558481,2575,2734,2963,2973,2812,0,0,0,0,0,0,0,0,B
558516,2564,2728,2976,2967,2807,0,0,0,0,0,0,0,0,B
558526,2571,2732,2977,2962,2801,0,0,0,0,0,0,0,0,B
558561,2570,2725,2972,2974,2805,0,0,0,0,0,0,0,0,B
558571,2568,2718,2976,2967,2811,0,0,0,0,0,0,0,0,B
558606,2564,2732,2979,2969,2798,0,0,0,0,0,0,0,0,B
558616,2568,2719,2982,2970,2793,0,0,0,0,0,0,0,0,B
558651,2568,2732,2975,2968,2804,0,0,0,0,0,0,0,0,B
558697,2561,2733,2977,2971,2811,0,0,0,0,0,0,0,0,B
558741,2557,2721,2969,2968,2789,0,0,0,0,0,0,0,0,B
558751,2561,2726,2973,2975,2797,0,0,0,0,0,0,0,0,B
558786,2567,2729,2973,2971,2809,0,0,0,0,0,0,0,0,B
558796,2571,2732,2978,2961,2811,0,0,0,0,0,0,0,0,B
558831,2572,2715,2973,2967,2796,0,0,0,0,0,0,0,0,B
558876,2565,2725,2972,2963,2808,0,0,0,0,0,0,0,0,B
558887,2574,2730,2985,2975,2806,0,0,0,0,0,0,0,0,B
558921,2569,2720,2972,2966,2786,0,0,0,0,0,0,0,0,B
558931,2557,2723,2976,2974,2785,0,0,0,0,0,0,0,0,B
558966,2572,2728,2981,2975,2798,0,0,0,0,0,0,0,0,B
558976,2567,2724,2979,2973,2792,0,0,0,0,0,0,0,0,B
559011,2560,2722,2976,2963,2807,0,0,0,0,0,0,0,0,B
559021,2579,2730,2977,2975,2794,0,0,0,0,0,0,0,0,B
559056,2575,2733,2977,2971,2805,0,0,0,0,0,0,0,0,B
559066,2575,2735,2975,2967,2790,0,0,0,0,0,0,0,0,B
559101,2573,2727,2980,2974,2808,0,0,0,0,0,0,0,0,B
559111,2563,2728,2979,2972,2802,0,0,0,0,0,0,0,0,B
559146,2567,2723,2980,2976,2803,0,0,0,0,0,0,0,0,B
559156,2567,2726,2977,2971,2805,0,0,0,0,0,0,0,0,B
559191,2578,2720,2967,2967,2818,0,0,0,0,0,0,0,0,B
559201,2569,2732,2971,2980,2809,0,0,0,0,0,0,0,0,B
559236,2562,2729,2975,2981,2804,0,0,0,0,0,0,0,0,B
559246,2576,2729,2982,2982,2823,0,0,0,0,0,0,0,0,B
559281,2561,2728,2982,2976,2799,0,0,0,0,0,0,0,0,B
559291,2572,2719,2983,2980,2807,0,0,0,0,0,0,0,0,B
