t_ms,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pitch,Roll,Sign
634970,2751,2260,2695,2733,2559,0,0,0,0,0,0,0,0,C
634980,2761,2270,2698,2748,2569,0,0,0,0,0,0,0,0,C
635015,2768,2261,2695,2748,2572,0,0,0,0,0,0,0,0,C
635025,2761,2265,2693,2738,2567,0,0,0,0,0,0,0,0,C
635060,2753,2268,2686,2738,2565,0,0,0,0,0,0,0,0,C
635070,2759,2274,2688,2737,2573,0,0,0,0,0,0,0,0,C
635105,2773,2267,2704,2740,2552,0,0,0,0,0,0,0,0,C
635150,2768,2270,2691,2745,2567,0,0,0,0,0,0,0,0,C
635161,2758,2259,2701,2752,2566,0,0,0,0,0,0,0,0,C
635195,2754,2278,2697,2733,2576,0,0,0,0,0,0,0,0,C
635205,2759,2269,2696,2739,2576,0,0,0,0,0,0,0,0,C
635240,2768,2265,2700,2737,2577,0,0,0,0,0,0,0,0,C
635285,2751,2266,2698,2743,2568,0,0,0,0,0,0,0,0,C
635296,2743,2266,2690,2734,2567,0,0,0,0,0,0,0,0,C
635330,2754,2264,2695,2736,2557,0,0,0,0,0,0,0,0,C
635340,2758,2268,2710,2732,2570,0,0,0,0,0,0,0,0,C
635375,2754,2264,2707,2735,2567,0,0,0,0,0,0,0,0,C
635385,2764,2278,2704,2739,2576,0,0,0,0,0,0,0,0,C
635420,2756,2271,2687,2719,2578,0,0,0,0,0,0,0,0,C
635430,2763,2265,2700,2744,2553,0,0,0,0,0,0,0,0,C
635465,2758,2265,2691,2748,2571,0,0,0,0,0,0,0,0,C
635475,2759,2255,2695,2729,2557,0,0,0,0,0,0,0,0,C
635510,2766,2267,2697,2732,2574,0,0,0,0,0,0,0,0,C
635520,2776,2263,2701,2744,2577,0,0,0,0,0,0,0,0,C
635555,2763,2263,2702,2738,2567,0,0,0,0,0,0,0,0,C
635565,2743,2269,2701,2724,2587,0,0,0,0,0,0,0,0,C
635600,2755,2264,2686,2733,2567,0,0,0,0,0,0,0,0,C
635611,2752,2257,2706,2740,2578,0,0,0,0,0,0,0,0,C
635645,2756,2251,2703,2744,2576,0,0,0,0,0,0,0,0,C
635655,2759,2258,2698,2734,2551,0,0,0,0,0,0,0,0,C
635690,2761,2271,2694,2734,2578,0,0,0,0,0,0,0,0,C
635700,2763,2260,2699,2742,2553,0,0,0,0,0,0,0,0,C
635735,2757,2263,2705,2743,2562,0,0,0,0,0,0,0,0,C
635781,2750,2276,2692,2740,2563,0,0,0,0,0,0,0,0,C
635791,2751,2276,2690,2742,2567,0,0,0,0,0,0,0,0,C
635826,2755,2263,2696,2739,2565,0,0,0,0,0,0,0,0,C
635836,2759,2251,2704,2749,2568,0,0,0,0,0,0,0,0,C
635871,2754,2264,2687,2742,2562,0,0,0,0,0,0,0,0,C
635881,2759,2261,2701,2730,2561,0,0,0,0,0,0,0,0,C
635916,2757,2266,2694,2747,2577,0,0,0,0,0,0,0,0,C
635926,2762,2265,2706,2741,2580,0,0,0,0,0,0,0,0,C
635961,2768,2247,2695,2736,2592,0,0,0,0,0,0,0,0,C
636006,2760,2265,2714,2731,2559,0,0,0,0,0,0,0,0,C
636017,2758,2266,2702,2748,2570,0,0,0,0,0,0,0,0,C
636050,2752,2266,2692,2730,2576,0,0,0,0,0,0,0,0,C
636060,2758,2260,2700,2751,2585,0,0,0,0,0,0,0,0,C
636095,2764,2264,2693,2741,2568,0,0,0,0,0,0,0,0,C
636105,2756,2270,2687,2735,2574,0,0,0,0,0,0,0,0,C
636140,2765,2261,2695,2737,2551,0,0,0,0,0,0,0,0,C
636150,2763,2268,2690,2745,2576,0,0,0,0,0,0,0,0,C
636185,2747,2257,2693,2735,2572,0,0,0,0,0,0,0,0,C
636195,2760,2260,2697,2744,2559,0,0,0,0,0,0,0,0,C
636230,2751,2264,2692,2736,2564,0,0,0,0,0,0,0,0,C
636240,2776,2273,2689,2749,2570,0,0,0,0,0,0,0,0,C
636275,2757,2275,2696,2740,2576,0,0,0,0,0,0,0,0,C
636285,2769,2262,2697,2746,2565,0,0,0,0,0,0,0,0,C
636320,2757,2262,2702,2740,2560,0,0,0,0,0,0,0,0,C
636331,2759,2257,2693,2740,2567,0,0,0,0,0,0,0,0,C
636365,2756,2272,2701,2743,2568,0,0,0,0,0,0,0,0,C
636376,2762,2259,2690,2741,2568,0,0,0,0,0,0,0,0,C
636410,2751,2261,2700,2735,2571,0,0,0,0,0,0,0,0,C
636420,2759,2260,2713,2746,2571,0,0,0,0,0,0,0,0,C
636455,2764,2255,2695,2743,2568,0,0,0,0,0,0,0,0,C
636465,2751,2269,2702,2744,2567,0,0,0,0,0,0,0,0,C
636500,2758,2247,2690,2735,2562,0,0,0,0,0,0,0,0,C
636510,2761,2268,2689,2743,2577,0,0,0,0,0,0,0,0,C
636545,2755,2258,2689,2742,2568,0,0,0,0,0,0,0,0,C
636555,2755,2272,2696,2743,2571,0,0,0,0,0,0,0,0,C
636590,2765,2262,2704,2743,2578,0,0,0,0,0,0,0,0,C
636600,2751,2267,2702,2743,2561,0,0,0,0,0,0,0,0,C
636635,2756,2260,2704,2743,2572,0,0,0,0,0,0,0,0,C
636645,2767,2276,2702,2744,2566,0,0,0,0,0,0,0,0,C
636680,2760,2272,2693,2737,2560,0,0,0,0,0,0,0,0,C
636691,2759,2255,2701,2739,2576,0,0,0,0,0,0,0,0,C
636725,2758,2255,2701,2740,2572,0,0,0,0,0,0,0,0,C
636735,2754,2259,2705,2739,2570,0,0,0,0,0,0,0,0,C
636770,2761,2263,2705,2750,2576,0,0,0,0,0,0,0,0,C
636780,2755,2272,2694,2741,2564,0,0,0,0,0,0,0,0,C
636815,2768,2276,2700,2733,2577,0,0,0,0,0,0,0,0,C
636825,2763,2263,2689,2735,2562,0,0,0,0,0,0,0,0,C
636860,2764,2271,2685,2729,2577,0,0,0,0,0,0,0,0,C
636870,2761,2266,2703,2744,2569,0,0,0,0,0,0,0,0,C
636905,2759,2281,2701,2738,2581,0,0,0,0,0,0,0,0,C
636915,2769,2282,2710,2748,2558,0,0,0,0,0,0,0,0,C
636950,2758,2259,2691,2752,2563,0,0,0,0,0,0,0,0,C
636960,2756,2265,2699,2733,2552,0,0,0,0,0,0,0,0,C
636995,2760,2262,2687,2741,2571,0,0,0,0,0,0,0,0,C
637005,2755,2258,2696,2745,2567,0,0,0,0,0,0,0,0,C
637040,2766,2260,2714,2736,2564,0,0,0,0,0,0,0,0,C
637050,2768,2258,2694,2739,2575,0,0,0,0,0,0,0,0,C
637085,2751,2270,2706,2735,2575,0,0,0,0,0,0,0,0,C
637095,2762,2262,2704,2736,2568,0,0,0,0,0,0,0,0,C
637130,2758,2264,2696,2746,2560,0,0,0,0,0,0,0,0,C
637140,2761,2263,2695,2739,2566,0,0,0,0,0,0,0,0,C
637175,2764,2258,2700,2733,2554,0,0,0,0,0,0,0,0,C
637185,2757,2268,2698,2737,2573,0,0,0,0,0,0,0,0,C
637220,2757,2260,2700,2741,2581,0,0,0,0,0,0,0,0,C
637230,2757,2269,2695,2741,2576,0,0,0,0,0,0,0,0,C
637265,2761,2277,2705,2737,2576,0,0,0,0,0,0,0,0,C
637275,2759,2267,2698,2735,2573,0,0,0,0,0,0,0,0,C
637310,2762,2267,2703,2736,2576,0,0,0,0,0,0,0,0,C
637320,2760,2268,2692,2748,2581,0,0,0,0,0,0,0,0,C
637355,2759,2266,2701,2735,2574,0,0,0,0,0,0,0,0,C
637365,2769,2261,2693,2741,2569,0,0,0,0,0,0,0,0,C
637400,2760,2267,2699,2729,2571,0,0,0,0,0,0,0,0,C
637410,2768,2266,2700,2738,2558,0,0,0,0,0,0,0,0,C
637445,2755,2273,2691,2734,2553,0,0,0,0,0,0,0,0,C
637455,2760,2260,2702,2745,2543,0,0,0,0,0,0,0,0,C
637490,2750,2263,2696,2738,2573,0,0,0,0,0,0,0,0,C
637500,2762,2259,2694,2733,2556,0,0,0,0,0,0,0,0,C
637535,2755,2266,2702,2735,2576,0,0,0,0,0,0,0,0,C
637545,2758,2266,2696,2738,2573,0,0,0,0,0,0,0,0,C
637580,2760,2268,2694,2740,2567,0,0,0,0,0,0,0,0,C
637590,2762,2267,2701,2739,2578,0,0,0,0,0,0,0,0,C
637625,2768,2258,2708,2738,2567,0,0,0,0,0,0,0,0,C
637635,2762,2260,2699,2738,2567,0,0,0,0,0,0,0,0,C
637670,2753,2275,2705,2739,2571,0,0,0,0,0,0,0,0,C
637680,2759,2268,2701,2740,2571,0,0,0,0,0,0,0,0,C
637715,2764,2265,2703,2741,2563,0,0,0,0,0,0,0,0,C
637725,2756,2258,2704,2742,2571,0,0,0,0,0,0,0,0,C
637760,2768,2251,2703,2752,2561,0,0,0,0,0,0,0,0,C
637770,2773,2260,2703,2741,2564,0,0,0,0,0,0,0,0,C
637805,2766,2271,2696,2735,2563,0,0,0,0,0,0,0,0,C
637815,2761,2269,2703,2739,2578,0,0,0,0,0,0,0,0,C
637850,2768,2270,2690,2741,2578,0,0,0,0,0,0,0,0,C
637895,2759,2259,2695,2751,2561,0,0,0,0,0,0,0,0,C
637906,2758,2272,2702,2739,2571,0,0,0,0,0,0,0,0,C
637940,2767,2272,2701,2742,2571,0,0,0,0,0,0,0,0,C
637950,2763,2261,2690,2735,2571,0,0,0,0,0,0,0,0,C
637985,2758,2267,2696,2738,2567,0,0,0,0,0,0,0,0,C
637995,2761,2274,2689,2740,2566,0,0,0,0,0,0,0,0,C
638030,2762,2258,2696,2742,2559,0,0,0,0,0,0,0,0,C
638040,2751,2274,2699,2750,2571,0,0,0,0,0,0,0,0,C
638075,2765,2261,2693,2743,2563,0,0,0,0,0,0,0,0,C
638085,2767,2272,2696,2742,2582,0,0,0,0,0,0,0,0,C
638120,2762,2269,2691,2747,2569,0,0,0,0,0,0,0,0,C
638166,2762,2276,2701,2741,2563,0,0,0,0,0,0,0,0,C
638177,2764,2262,2690,2735,2582,0,0,0,0,0,0,0,0,C
638210,2757,2268,2704,2744,2573,0,0,0,0,0,0,0,0,C
638220,2772,2269,2700,2738,2578,0,0,0,0,0,0,0,0,C
638255,2760,2246,2694,2736,2575,0,0,0,0,0,0,0,0,C
638265,2760,2267,2704,2739,2564,0,0,0,0,0,0,0,0,C
638300,2772,2257,2706,2742,2571,0,0,0,0,0,0,0,0,C
638310,2761,2257,2701,2737,2576,0,0,0,0,0,0,0,0,C
638345,2764,2264,2699,2744,2572,0,0,0,0,0,0,0,0,C
638355,2762,2265,2703,2747,2575,0,0,0,0,0,0,0,0,C
638390,2764,2280,2699,2742,2570,0,0,0,0,0,0,0,0,C
638400,2763,2272,2701,2728,2585,0,0,0,0,0,0,0,0,C
638435,2755,2244,2696,2724,2559,0,0,0,0,0,0,0,0,C
638445,2763,2273,2699,2728,2570,0,0,0,0,0,0,0,0,C
638480,2764,2264,2695,2735,2571,0,0,0,0,0,0,0,0,C
638490,2764,2270,2704,2727,2583,0,0,0,0,0,0,0,0,C
638525,2754,2263,2695,2741,2567,0,0,0,0,0,0,0,0,C
638535,2761,2264,2699,2739,2558,0,0,0,0,0,0,0,0,C
638570,2760,2263,2703,2748,2575,0,0,0,0,0,0,0,0,C
638580,2758,2271,2687,2738,2586,0,0,0,0,0,0,0,0,C
638615,2746,2268,2698,2744,2561,0,0,0,0,0,0,0,0,C
638625,2757,2261,2707,2741,2572,0,0,0,0,0,0,0,0,C
638660,2764,2267,2704,2744,2560,0,0,0,0,0,0,0,0,C
638670,2759,2263,2700,2731,2571,0,0,0,0,0,0,0,0,C
638705,2760,2248,2697,2736,2567,0,0,0,0,0,0,0,0,C
638715,2761,2260,2705,2749,2562,0,0,0,0,0,0,0,0,C
638750,2768,2267,2702,2730,2565,0,0,0,0,0,0,0,0,C
638795,2764,2268,2698,2739,2569,0,0,0,0,0,0,0,0,C
638806,2750,2274,2709,2752,2562,0,0,0,0,0,0,0,0,C
638840,2763,2270,2703,2739,2553,0,0,0,0,0,0,0,0,C
638850,2758,2255,2706,2736,2569,0,0,0,0,0,0,0,0,C
638885,2758,2264,2704,2744,2578,0,0,0,0,0,0,0,0,C
638895,2750,2260,2701,2739,2568,0,0,0,0,0,0,0,0,C
638930,2750,2269,2696,2745,2560,0,0,0,0,0,0,0,0,C
638940,2760,2267,2698,2741,2576,0,0,0,0,0,0,0,0,C
638975,2757,2268,2699,2730,2570,0,0,0,0,0,0,0,0,C
638985,2766,2259,2697,2739,2565,0,0,0,0,0,0,0,0,C
639020,2755,2271,2694,2745,2567,0,0,0,0,0,0,0,0,C
639030,2755,2262,2698,2735,2565,0,0,0,0,0,0,0,0,C
639065,2753,2270,2693,2736,2559,0,0,0,0,0,0,0,0,C
639075,2765,2261,2701,2739,2565,0,0,0,0,0,0,0,0,C
639110,2759,2259,2696,2743,2562,0,0,0,0,0,0,0,0,C
639120,2763,2269,2695,2744,2560,0,0,0,0,0,0,0,0,C
639155,2764,2266,2702,2734,2567,0,0,0,0,0,0,0,0,C
639165,2760,2256,2699,2742,2571,0,0,0,0,0,0,0,0,C
639200,2756,2270,2701,2740,2578,0,0,0,0,0,0,0,0,C
639210,2756,2255,2706,2744,2567,0,0,0,0,0,0,0,0,C
639245,2760,2265,2692,2729,2576,0,0,0,0,0,0,0,0,C
639255,2761,2274,2701,2751,2569,0,0,0,0,0,0,0,0,C
639290,2760,2264,2709,2742,2580,0,0,0,0,0,0,0,0,C
639300,2761,2268,2702,2735,2577,0,0,0,0,0,0,0,0,C
639335,2754,2256,2694,2740,2562,0,0,0,0,0,0,0,0,C
639345,2762,2263,2705,2739,2550,0,0,0,0,0,0,0,0,C
639380,2765,2252,2699,2732,2568,0,0,0,0,0,0,0,0,C
