t_ms,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pitch,Roll,Sign
732394,2744,2582,2615,2647,2479,0,0,0,0,0,0,0,0,D
732404,2737,2597,2603,2652,2470,0,0,0,0,0,0,0,0,D
732439,2731,2596,2615,2654,2461,0,0,0,0,0,0,0,0,D
732449,2742,2603,2616,2655,2472,0,0,0,0,0,0,0,0,D
732484,2738,2584,2628,2645,2461,0,0,0,0,0,0,0,0,D
732494,2746,2596,2618,2645,2468,0,0,0,0,0,0,0,0,D
732529,2739,2601,2617,2640,2479,0,0,0,0,0,0,0,0,D
732539,2740,2594,2621,2648,2469,0,0,0,0,0,0,0,0,D
732574,2735,2600,2624,2653,2475,0,0,0,0,0,0,0,0,D
732584,2742,2596,2612,2656,2474,0,0,0,0,0,0,0,0,D
732619,2744,2595,2628,2656,2469,0,0,0,0,0,0,0,0,D
732629,2748,2595,2626,2650,2476,0,0,0,0,0,0,0,0,D
732664,2745,2600,2628,2650,2478,0,0,0,0,0,0,0,0,D
732674,2740,2597,2628,2639,2475,0,0,0,0,0,0,0,0,D
732709,2738,2592,2623,2656,2479,0,0,0,0,0,0,0,0,D
732719,2750,2596,2620,2647,2473,0,0,0,0,0,0,0,0,D
732754,2740,2595,2624,2656,2477,0,0,0,0,0,0,0,0,D
732764,2736,2590,2625,2647,2474,0,0,0,0,0,0,0,0,D
732799,2742,2590,2632,2655,2463,0,0,0,0,0,0,0,0,D
732809,2744,2608,2599,2648,2462,0,0,0,0,0,0,0,0,D
732844,2747,2595,2626,2656,2475,0,0,0,0,0,0,0,0,D
732854,2749,2600,2619,2650,2477,0,0,0,0,0,0,0,0,D
732889,2739,2583,2609,2644,2466,0,0,0,0,0,0,0,0,D
732899,2744,2591,2622,2656,2483,0,0,0,0,0,0,0,0,D
732934,2727,2604,2611,2644,2464,0,0,0,0,0,0,0,0,D
732944,2730,2599,2616,2647,2480,0,0,0,0,0,0,0,0,D
732979,2737,2593,2632,2647,2484,0,0,0,0,0,0,0,0,D
732989,2739,2599,2617,2647,2464,0,0,0,0,0,0,0,0,D
733024,2737,2594,2616,2649,2472,0,0,0,0,0,0,0,0,D
733034,2746,2596,2615,2643,2462,0,0,0,0,0,0,0,0,D
733069,2731,2601,2613,2645,2472,0,0,0,0,0,0,0,0,D
733079,2739,2597,2625,2656,2476,0,0,0,0,0,0,0,0,D
733114,2742,2602,2628,2637,2467,0,0,0,0,0,0,0,0,D
733124,2743,2600,2626,2647,2470,0,0,0,0,0,0,0,0,D
733159,2734,2590,2607,2645,2466,0,0,0,0,0,0,0,0,D
733204,2741,2596,2632,2644,2464,0,0,0,0,0,0,0,0,D
733214,2745,2596,2624,2657,2478,0,0,0,0,0,0,0,0,D
733249,2740,2587,2622,2646,2474,0,0,0,0,0,0,0,0,D
733259,2737,2599,2611,2646,2465,0,0,0,0,0,0,0,0,D
733294,2735,2594,2619,2651,2460,0,0,0,0,0,0,0,0,D
733304,2746,2583,2611,2644,2468,0,0,0,0,0,0,0,0,D
733339,2741,2595,2619,2650,2468,0,0,0,0,0,0,0,0,D
733349,2731,2602,2618,2652,2466,0,0,0,0,0,0,0,0,D
733384,2739,2589,2612,2635,2463,0,0,0,0,0,0,0,0,D
733394,2744,2593,2616,2638,2466,0,0,0,0,0,0,0,0,D
733429,2734,2598,2613,2648,2472,0,0,0,0,0,0,0,0,D
733439,2733,2594,2612,2643,2466,0,0,0,0,0,0,0,0,D
733474,2734,2589,2632,2628,2454,0,0,0,0,0,0,0,0,D
733484,2745,2590,2614,2650,2467,0,0,0,0,0,0,0,0,D
733519,2744,2592,2622,2651,2469,0,0,0,0,0,0,0,0,D
