t_ms,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pitch,Roll,Sign
1306001,2472,1794,2488,2578,2339,0,0,0,0,0,0,0,0,E
1306011,2471,1786,2490,2578,2341,0,0,0,0,0,0,0,0,E
1306046,2471,1779,2509,2579,2344,0,0,0,0,0,0,0,0,E
1306056,2473,1782,2507,2581,2329,0,0,0,0,0,0,0,0,E
1306091,2472,1781,2496,2588,2338,0,0,0,0,0,0,0,0,E
1306137,2474,1784,2504,2586,2325,0,0,0,0,0,0,0,0,E
1306148,2478,1779,2493,2575,2329,0,0,0,0,0,0,0,0,E
1306181,2465,1778,2498,2575,2332,0,0,0,0,0,0,0,0,E
1306191,2485,1784,2506,2584,2346,0,0,0,0,0,0,0,0,E
1306226,2474,1789,2499,2580,2364,0,0,0,0,0,0,0,0,E
1306236,2488,1779,2517,2582,2352,0,0,0,0,0,0,0,0,E
1306271,2488,1796,2495,2582,2343,0,0,0,0,0,0,0,0,E
1306317,2483,1785,2496,2582,2359,0,0,0,0,0,0,0,0,E
1306327,2470,1784,2495,2587,2341,0,0,0,0,0,0,0,0,E
1306361,2468,1792,2504,2583,2351,0,0,0,0,0,0,0,0,E
1306372,2476,1805,2503,2588,2347,0,0,0,0,0,0,0,0,E
1306406,2488,1774,2512,2588,2336,0,0,0,0,0,0,0,0,E
1306416,2473,1783,2489,2592,2349,0,0,0,0,0,0,0,0,E
1306451,2475,1784,2502,2582,2334,0,0,0,0,0,0,0,0,E
1306461,2476,1783,2510,2587,2349,0,0,0,0,0,0,0,0,E
1306496,2467,1779,2510,2582,2336,0,0,0,0,0,0,0,0,E
1306506,2472,1792,2495,2579,2341,0,0,0,0,0,0,0,0,E
1306541,2461,1767,2489,2578,2339,0,0,0,0,0,0,0,0,E
1306551,2481,1778,2511,2577,2358,0,0,0,0,0,0,0,0,E
1306586,2466,1784,2499,2583,2342,0,0,0,0,0,0,0,0,E
1306596,2480,1780,2509,2592,2352,0,0,0,0,0,0,0,0,E
1306631,2480,1776,2502,2580,2332,0,0,0,0,0,0,0,0,E
1306641,2472,1781,2512,2580,2348,0,0,0,0,0,0,0,0,E
1306676,2465,1781,2502,2581,2338,0,0,0,0,0,0,0,0,E
1306686,2481,1792,2504,2590,2335,0,0,0,0,0,0,0,0,E
1306721,2472,1790,2507,2583,2327,0,0,0,0,0,0,0,0,E
1306731,2471,1780,2506,2579,2339,0,0,0,0,0,0,0,0,E
1306766,2479,1799,2515,2593,2353,0,0,0,0,0,0,0,0,E
1306776,2471,1796,2504,2588,2335,0,0,0,0,0,0,0,0,E
1306811,2475,1770,2495,2572,2323,0,0,0,0,0,0,0,0,E
1306821,2478,1776,2510,2580,2351,0,0,0,0,0,0,0,0,E
1306856,2473,1775,2512,2584,2334,0,0,0,0,0,0,0,0,E
1306866,2475,1776,2511,2573,2356,0,0,0,0,0,0,0,0,E
1306901,2477,1787,2510,2586,2335,0,0,0,0,0,0,0,0,E
1306911,2471,1792,2483,2576,2340,0,0,0,0,0,0,0,0,E
1306946,2461,1771,2495,2592,2345,0,0,0,0,0,0,0,0,E
1306956,2459,1791,2500,2575,2340,0,0,0,0,0,0,0,0,E
1306991,2475,1787,2491,2583,2344,0,0,0,0,0,0,0,0,E
1307001,2487,1790,2502,2590,2339,0,0,0,0,0,0,0,0,E
1307036,2475,1779,2516,2587,2340,0,0,0,0,0,0,0,0,E
1307046,2466,1784,2502,2591,2338,0,0,0,0,0,0,0,0,E
1307081,2471,1781,2505,2573,2333,0,0,0,0,0,0,0,0,E
1307091,2480,1792,2498,2587,2348,0,0,0,0,0,0,0,0,E
1307126,2482,1775,2499,2583,2334,0,0,0,0,0,0,0,0,E
1307136,2466,1780,2508,2587,2336,0,0,0,0,0,0,0,0,E
1307171,2469,1761,2503,2571,2348,0,0,0,0,0,0,0,0,E
1307181,2461,1781,2502,2586,2354,0,0,0,0,0,0,0,0,E
1307216,2467,1762,2512,2588,2357,0,0,0,0,0,0,0,0,E
1307226,2470,1783,2501,2584,2339,0,0,0,0,0,0,0,0,E
1307261,2472,1787,2503,2592,2357,0,0,0,0,0,0,0,0,E
1307271,2489,1792,2514,2583,2348,0,0,0,0,0,0,0,0,E
1307306,2476,1790,2504,2569,2347,0,0,0,0,0,0,0,0,E
1307316,2467,1780,2494,2583,2327,0,0,0,0,0,0,0,0,E
1307351,2462,1788,2496,2577,2338,0,0,0,0,0,0,0,0,E
1307361,2471,1783,2502,2582,2331,0,0,0,0,0,0,0,0,E
1307396,2479,1773,2508,2576,2338,0,0,0,0,0,0,0,0,E
1307406,2478,1779,2500,2593,2348,0,0,0,0,0,0,0,0,E
1307441,2471,1786,2506,2586,2347,0,0,0,0,0,0,0,0,E
1307451,2472,1787,2489,2586,2342,0,0,0,0,0,0,0,0,E
1307486,2486,1774,2505,2579,2351,0,0,0,0,0,0,0,0,E
1307496,2471,1782,2503,2585,2335,0,0,0,0,0,0,0,0,E
1307531,2472,1774,2501,2576,2341,0,0,0,0,0,0,0,0,E
1307541,2479,1802,2503,2588,2340,0,0,0,0,0,0,0,0,E
1307576,2478,1771,2507,2586,2334,0,0,0,0,0,0,0,0,E
1307586,2472,1779,2497,2580,2318,0,0,0,0,0,0,0,0,E
1307621,2477,1801,2504,2593,2337,0,0,0,0,0,0,0,0,E
1307631,2481,1790,2491,2590,2331,0,0,0,0,0,0,0,0,E
1307666,2477,1779,2507,2584,2344,0,0,0,0,0,0,0,0,E
1307676,2474,1792,2497,2585,2329,0,0,0,0,0,0,0,0,E
1307711,2478,1784,2500,2574,2351,0,0,0,0,0,0,0,0,E
1307757,2473,1777,2511,2582,2341,0,0,0,0,0,0,0,0,E
1307767,2475,1779,2497,2585,2342,0,0,0,0,0,0,0,0,E
1307801,2462,1777,2492,2577,2356,0,0,0,0,0,0,0,0,E
1307811,2478,1781,2511,2582,2341,0,0,0,0,0,0,0,0,E
1307846,2474,1765,2499,2585,2351,0,0,0,0,0,0,0,0,E
1307856,2483,1781,2498,2582,2329,0,0,0,0,0,0,0,0,E
1307891,2473,1797,2495,2586,2322,0,0,0,0,0,0,0,0,E
1307901,2473,1780,2505,2587,2332,0,0,0,0,0,0,0,0,E
1307936,2485,1767,2499,2583,2351,0,0,0,0,0,0,0,0,E
1307946,2481,1780,2505,2594,2329,0,0,0,0,0,0,0,0,E
1307981,2475,1792,2489,2582,2332,0,0,0,0,0,0,0,0,E
1307991,2475,1783,2497,2586,2332,0,0,0,0,0,0,0,0,E
1308026,2479,1774,2504,2585,2335,0,0,0,0,0,0,0,0,E
1308036,2455,1767,2509,2583,2345,0,0,0,0,0,0,0,0,E
1308071,2481,1777,2498,2588,2346,0,0,0,0,0,0,0,0,E
1308081,2457,1778,2488,2581,2340,0,0,0,0,0,0,0,0,E
1308116,2471,1789,2507,2596,2343,0,0,0,0,0,0,0,0,E
1308126,2476,1790,2509,2587,2349,0,0,0,0,0,0,0,0,E
1308161,2479,1795,2500,2577,2347,0,0,0,0,0,0,0,0,E
1308171,2486,1777,2506,2586,2342,0,0,0,0,0,0,0,0,E
1308206,2484,1786,2505,2584,2350,0,0,0,0,0,0,0,0,E
1308216,2488,1786,2517,2588,2345,0,0,0,0,0,0,0,0,E
1308251,2473,1776,2501,2584,2343,0,0,0,0,0,0,0,0,E
1308261,2471,1791,2504,2587,2331,0,0,0,0,0,0,0,0,E
1308296,2474,1794,2512,2577,2359,0,0,0,0,0,0,0,0,E
1308306,2471,1785,2507,2581,2344,0,0,0,0,0,0,0,0,E
1308341,2486,1779,2512,2579,2332,0,0,0,0,0,0,0,0,E
1308351,2471,1768,2507,2576,2347,0,0,0,0,0,0,0,0,E
1308386,2483,1800,2501,2575,2333,0,0,0,0,0,0,0,0,E
1308396,2469,1780,2514,2581,2345,0,0,0,0,0,0,0,0,E
1308431,2474,1789,2524,2571,2347,0,0,0,0,0,0,0,0,E
1308441,2477,1799,2503,2587,2343,0,0,0,0,0,0,0,0,E
1308476,2468,1785,2507,2586,2349,0,0,0,0,0,0,0,0,E
1308486,2486,1785,2512,2578,2354,0,0,0,0,0,0,0,0,E
1308521,2466,1783,2507,2583,2340,0,0,0,0,0,0,0,0,E
1308531,2475,1792,2512,2570,2344,0,0,0,0,0,0,0,0,E
1308566,2477,1782,2507,2587,2353,0,0,0,0,0,0,0,0,E
1308576,2474,1761,2498,2575,2334,0,0,0,0,0,0,0,0,E
1308611,2477,1796,2510,2582,2340,0,0,0,0,0,0,0,0,E
1308621,2475,1787,2510,2583,2344,0,0,0,0,0,0,0,0,E
1308656,2471,1761,2528,2583,2345,0,0,0,0,0,0,0,0,E
1308666,2480,1779,2508,2574,2349,0,0,0,0,0,0,0,0,E
1308701,2477,1783,2506,2579,2342,0,0,0,0,0,0,0,0,E
1308711,2479,1778,2515,2588,2337,0,0,0,0,0,0,0,0,E
1308746,2475,1775,2506,2581,2341,0,0,0,0,0,0,0,0,E
1308756,2467,1787,2506,2579,2345,0,0,0,0,0,0,0,0,E
1308791,2486,1797,2501,2582,2323,0,0,0,0,0,0,0,0,E
1308837,2480,1786,2503,2586,2343,0,0,0,0,0,0,0,0,E
1308847,2481,1791,2493,2582,2344,0,0,0,0,0,0,0,0,E
1308881,2477,1773,2507,2583,2339,0,0,0,0,0,0,0,0,E
1308891,2482,1774,2502,2582,2351,0,0,0,0,0,0,0,0,E
1308926,2479,1786,2504,2583,2345,0,0,0,0,0,0,0,0,E
1308936,2484,1783,2503,2592,2338,0,0,0,0,0,0,0,0,E
