t_ms,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pitch,Roll,Sign
785323,2757,2043,2927,2928,2770,0,0,0,0,0,0,0,0,F
785358,2760,2047,2925,2930,2765,0,0,0,0,0,0,0,0,F
785403,2768,2032,2920,2924,2777,0,0,0,0,0,0,0,0,F
785413,2762,2039,2928,2926,2776,0,0,0,0,0,0,0,0,F
785448,2760,2046,2920,2924,2768,0,0,0,0,0,0,0,0,F
785458,2767,2052,2915,2927,2760,0,0,0,0,0,0,0,0,F
785493,2759,2038,2922,2922,2784,0,0,0,0,0,0,0,0,F
785503,2768,2046,2914,2930,2765,0,0,0,0,0,0,0,0,F
785538,2762,2050,2924,2920,2786,0,0,0,0,0,0,0,0,F
785548,2770,2039,2922,2922,2776,0,0,0,0,0,0,0,0,F
785583,2768,2046,2919,2930,2780,0,0,0,0,0,0,0,0,F
785593,2762,2052,2920,2917,2768,0,0,0,0,0,0,0,0,F
785628,2759,2044,2915,2924,2769,0,0,0,0,0,0,0,0,F
785638,2760,2052,2919,2932,2775,0,0,0,0,0,0,0,0,F
785673,2768,2045,2916,2927,2769,0,0,0,0,0,0,0,0,F
785683,2767,2048,2913,2917,2767,0,0,0,0,0,0,0,0,F
785718,2749,2037,2910,2920,2775,0,0,0,0,0,0,0,0,F
785728,2760,2052,2929,2917,2767,0,0,0,0,0,0,0,0,F
785763,2768,2045,2915,2928,2760,0,0,0,0,0,0,0,0,F
785773,2768,2052,2916,2921,2784,0,0,0,0,0,0,0,0,F
785808,2766,2032,2904,2919,2767,0,0,0,0,0,0,0,0,F
785818,2767,2052,2924,2923,2768,0,0,0,0,0,0,0,0,F
785853,2748,2047,2918,2925,2776,0,0,0,0,0,0,0,0,F
785863,2767,2068,2922,2928,2776,0,0,0,0,0,0,0,0,F
785898,2763,2048,2928,2919,2776,0,0,0,0,0,0,0,0,F
785908,2761,2052,2915,2930,2769,0,0,0,0,0,0,0,0,F
785988,2759,2052,2907,2916,2770,0,0,0,0,0,0,0,0,F
785998,2765,2051,2910,2919,2768,0,0,0,0,0,0,0,0,F
786033,2766,2051,2923,2932,2776,0,0,0,0,0,0,0,0,F
786043,2766,2050,2920,2925,2773,0,0,0,0,0,0,0,0,F
786078,2768,2045,2913,2924,2770,0,0,0,0,0,0,0,0,F
