t_ms,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pitch,Roll,Sign
817307,2629,1731,2527,2632,2734,0,0,0,0,0,0,0,0,I
817318,2629,1709,2522,2635,2752,0,0,0,0,0,0,0,0,I
817352,2613,1737,2518,2621,2748,0,0,0,0,0,0,0,0,I
817363,2623,1739,2520,2633,2743,0,0,0,0,0,0,0,0,I
817397,2619,1734,2527,2623,2752,0,0,0,0,0,0,0,0,I
817408,2613,1746,2517,2636,2742,0,0,0,0,0,0,0,0,I
817442,2632,1749,2520,2636,2746,0,0,0,0,0,0,0,0,I
817453,2613,1746,2519,2622,2744,0,0,0,0,0,0,0,0,I
817487,2625,1757,2517,2625,2724,0,0,0,0,0,0,0,0,I
817498,2625,1737,2523,2629,2746,0,0,0,0,0,0,0,0,I
817532,2618,1753,2524,2625,2735,0,0,0,0,0,0,0,0,I
817543,2640,1730,2528,2630,2743,0,0,0,0,0,0,0,0,I
817577,2607,1706,2533,2623,2753,0,0,0,0,0,0,0,0,I
817588,2630,1752,2529,2631,2740,0,0,0,0,0,0,0,0,I
817622,2617,1707,2532,2628,2751,0,0,0,0,0,0,0,0,I
817633,2627,1730,2517,2624,2740,0,0,0,0,0,0,0,0,I
817667,2628,1731,2527,2615,2743,0,0,0,0,0,0,0,0,I
817678,2633,1734,2506,2638,2751,0,0,0,0,0,0,0,0,I
817712,2612,1736,2504,2623,2742,0,0,0,0,0,0,0,0,I
817723,2621,1714,2535,2623,2744,0,0,0,0,0,0,0,0,I
817757,2624,1728,2523,2636,2741,0,0,0,0,0,0,0,0,I
817768,2619,1744,2515,2632,2737,0,0,0,0,0,0,0,0,I
817802,2628,1724,2528,2617,2758,0,0,0,0,0,0,0,0,I
817813,2616,1743,2531,2622,2751,0,0,0,0,0,0,0,0,I
817847,2631,1759,2526,2628,2735,0,0,0,0,0,0,0,0,I
817858,2628,1738,2534,2630,2744,0,0,0,0,0,0,0,0,I
817892,2614,1733,2524,2632,2741,0,0,0,0,0,0,0,0,I
817903,2615,1753,2518,2624,2747,0,0,0,0,0,0,0,0,I
817937,2632,1752,2528,2631,2760,0,0,0,0,0,0,0,0,I
817948,2623,1736,2536,2627,2753,0,0,0,0,0,0,0,0,I
817982,2617,1731,2527,2630,2740,0,0,0,0,0,0,0,0,I
817993,2628,1759,2539,2629,2751,0,0,0,0,0,0,0,0,I
818072,2615,1730,2517,2632,2747,0,0,0,0,0,0,0,0,I
818083,2621,1736,2521,2643,2751,0,0,0,0,0,0,0,0,I
818117,2616,1756,2536,2623,2756,0,0,0,0,0,0,0,0,I
818128,2613,1746,2532,2636,2747,0,0,0,0,0,0,0,0,I
818162,2612,1732,2526,2623,2745,0,0,0,0,0,0,0,0,I
818173,2640,1706,2539,2639,2750,0,0,0,0,0,0,0,0,I
818207,2624,1756,2525,2631,2754,0,0,0,0,0,0,0,0,I
818218,2625,1746,2527,2630,2741,0,0,0,0,0,0,0,0,I
818252,2620,1735,2536,2625,2739,0,0,0,0,0,0,0,0,I
818263,2621,1739,2535,2625,2744,0,0,0,0,0,0,0,0,I
818297,2622,1736,2527,2640,2745,0,0,0,0,0,0,0,0,I
818308,2619,1754,2539,2633,2744,0,0,0,0,0,0,0,0,I
818342,2621,1754,2530,2631,2744,0,0,0,0,0,0,0,0,I
818353,2625,1734,2523,2631,2757,0,0,0,0,0,0,0,0,I
818388,2625,1754,2529,2633,2750,0,0,0,0,0,0,0,0,I
818478,2624,1751,2534,2623,2743,0,0,0,0,0,0,0,0,I
818489,2630,1747,2529,2631,2744,0,0,0,0,0,0,0,0,I
818522,2629,1737,2534,2628,2745,0,0,0,0,0,0,0,0,I
818533,2622,1743,2541,2632,2731,0,0,0,0,0,0,0,0,I
818567,2626,1730,2534,2630,2733,0,0,0,0,0,0,0,0,I
818578,2626,1746,2535,2627,2725,0,0,0,0,0,0,0,0,I
818612,2618,1744,2521,2623,2742,0,0,0,0,0,0,0,0,I
818623,2624,1712,2531,2620,2754,0,0,0,0,0,0,0,0,I
818657,2629,1736,2533,2623,2745,0,0,0,0,0,0,0,0,I
818668,2618,1726,2540,2637,2742,0,0,0,0,0,0,0,0,I
818702,2628,1734,2532,2631,2739,0,0,0,0,0,0,0,0,I
818748,2623,1730,2532,2629,2744,0,0,0,0,0,0,0,0,I
818759,2622,1737,2536,2634,2741,0,0,0,0,0,0,0,0,I
818792,2620,1715,2532,2632,2748,0,0,0,0,0,0,0,0,I
818803,2616,1740,2540,2640,2750,0,0,0,0,0,0,0,0,I
818837,2621,1755,2527,2633,2751,0,0,0,0,0,0,0,0,I
818848,2631,1738,2527,2624,2754,0,0,0,0,0,0,0,0,I
818882,2612,1770,2529,2630,2725,0,0,0,0,0,0,0,0,I
