t_ms,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pitch,Roll,Sign
834767,2901,2702,2575,2589,2323,0,0,0,0,0,0,0,0,L
834778,2887,2695,2579,2592,2339,0,0,0,0,0,0,0,0,L
834812,2885,2706,2583,2589,2338,0,0,0,0,0,0,0,0,L
834823,2891,2705,2581,2598,2333,0,0,0,0,0,0,0,0,L
834857,2890,2702,2583,2594,2332,0,0,0,0,0,0,0,0,L
834868,2907,2703,2587,2591,2345,0,0,0,0,0,0,0,0,L
834902,2891,2713,2578,2591,2341,0,0,0,0,0,0,0,0,L
834913,2897,2716,2580,2602,2323,0,0,0,0,0,0,0,0,L
834947,2900,2699,2577,2596,2334,0,0,0,0,0,0,0,0,L
834958,2891,2707,2571,2596,2344,0,0,0,0,0,0,0,0,L
834992,2890,2707,2569,2604,2346,0,0,0,0,0,0,0,0,L
835003,2891,2704,2590,2593,2332,0,0,0,0,0,0,0,0,L
835037,2892,2710,2575,2593,2331,0,0,0,0,0,0,0,0,L
835048,2887,2705,2570,2593,2338,0,0,0,0,0,0,0,0,L
835082,2886,2707,2583,2596,2327,0,0,0,0,0,0,0,0,L
835093,2896,2719,2575,2595,2340,0,0,0,0,0,0,0,0,L
835172,2875,2699,2577,2595,2335,0,0,0,0,0,0,0,0,L
835183,2876,2708,2576,2583,2345,0,0,0,0,0,0,0,0,L
835217,2871,2705,2581,2590,2341,0,0,0,0,0,0,0,0,L
835228,2872,2718,2578,2601,2344,0,0,0,0,0,0,0,0,L
835262,2872,2720,2575,2590,2336,0,0,0,0,0,0,0,0,L
835273,2875,2715,2582,2592,2323,0,0,0,0,0,0,0,0,L
835307,2860,2711,2580,2583,2344,0,0,0,0,0,0,0,0,L
835318,2864,2715,2580,2612,2330,0,0,0,0,0,0,0,0,L
835352,2863,2710,2566,2602,2334,0,0,0,0,0,0,0,0,L
835363,2866,2703,2580,2589,2341,0,0,0,0,0,0,0,0,L
835397,2872,2713,2573,2592,2350,0,0,0,0,0,0,0,0,L
835408,2870,2717,2566,2586,2331,0,0,0,0,0,0,0,0,L
835442,2857,2708,2574,2596,2331,0,0,0,0,0,0,0,0,L
835453,2871,2714,2581,2593,2349,0,0,0,0,0,0,0,0,L
835487,2866,2711,2579,2589,2322,0,0,0,0,0,0,0,0,L
835498,2873,2719,2579,2589,2339,0,0,0,0,0,0,0,0,L
835532,2866,2718,2579,2592,2339,0,0,0,0,0,0,0,0,L
835543,2863,2719,2580,2597,2342,0,0,0,0,0,0,0,0,L
835577,2857,2721,2580,2591,2343,0,0,0,0,0,0,0,0,L
835588,2870,2728,2580,2589,2341,0,0,0,0,0,0,0,0,L
835622,2857,2708,2560,2596,2332,0,0,0,0,0,0,0,0,L
835633,2864,2720,2579,2587,2349,0,0,0,0,0,0,0,0,L
835667,2870,2717,2569,2586,2338,0,0,0,0,0,0,0,0,L
835678,2870,2715,2576,2592,2320,0,0,0,0,0,0,0,0,L
835712,2857,2718,2579,2589,2340,0,0,0,0,0,0,0,0,L
835723,2873,2713,2577,2611,2336,0,0,0,0,0,0,0,0,L
835757,2867,2716,2576,2608,2333,0,0,0,0,0,0,0,0,L
835768,2867,2712,2566,2597,2339,0,0,0,0,0,0,0,0,L
835802,2869,2717,2578,2599,2313,0,0,0,0,0,0,0,0,L
835813,2853,2707,2576,2600,2326,0,0,0,0,0,0,0,0,L
835847,2868,2716,2569,2592,2334,0,0,0,0,0,0,0,0,L
835858,2869,2722,2572,2596,2357,0,0,0,0,0,0,0,0,L
835892,2859,2718,2577,2600,2336,0,0,0,0,0,0,0,0,L
835903,2876,2719,2572,2599,2318,0,0,0,0,0,0,0,0,L
835937,2875,2715,2574,2606,2341,0,0,0,0,0,0,0,0,L
835948,2861,2717,2576,2595,2331,0,0,0,0,0,0,0,0,L
835982,2868,2710,2568,2596,2332,0,0,0,0,0,0,0,0,L
835993,2872,2714,2567,2596,2349,0,0,0,0,0,0,0,0,L
836027,2866,2719,2579,2596,2340,0,0,0,0,0,0,0,0,L
836038,2877,2719,2573,2597,2329,0,0,0,0,0,0,0,0,L
836072,2859,2706,2566,2603,2350,0,0,0,0,0,0,0,0,L
836083,2870,2717,2576,2588,2337,0,0,0,0,0,0,0,0,L
836117,2877,2717,2586,2608,2331,0,0,0,0,0,0,0,0,L
836128,2855,2723,2570,2599,2339,0,0,0,0,0,0,0,0,L
836162,2873,2715,2575,2604,2359,0,0,0,0,0,0,0,0,L
836173,2879,2714,2576,2598,2342,0,0,0,0,0,0,0,0,L
836207,2872,2711,2579,2592,2335,0,0,0,0,0,0,0,0,L
836218,2871,2714,2590,2601,2343,0,0,0,0,0,0,0,0,L
836252,2872,2705,2574,2597,2354,0,0,0,0,0,0,0,0,L
836263,2885,2711,2577,2601,2335,0,0,0,0,0,0,0,0,L
836297,2873,2720,2575,2587,2343,0,0,0,0,0,0,0,0,L
836308,2880,2711,2575,2583,2349,0,0,0,0,0,0,0,0,L
836342,2872,2715,2562,2587,2356,0,0,0,0,0,0,0,0,L
836353,2880,2717,2581,2595,2347,0,0,0,0,0,0,0,0,L
836387,2875,2720,2567,2599,2346,0,0,0,0,0,0,0,0,L
836398,2876,2715,2577,2595,2354,0,0,0,0,0,0,0,0,L
836432,2876,2719,2570,2594,2339,0,0,0,0,0,0,0,0,L
836443,2871,2726,2579,2597,2352,0,0,0,0,0,0,0,0,L
836477,2884,2713,2588,2597,2337,0,0,0,0,0,0,0,0,L
836488,2885,2730,2583,2604,2356,0,0,0,0,0,0,0,0,L
836522,2869,2716,2578,2599,2354,0,0,0,0,0,0,0,0,L
836533,2878,2714,2583,2596,2350,0,0,0,0,0,0,0,0,L
836567,2873,2728,2573,2595,2351,0,0,0,0,0,0,0,0,L
836578,2877,2720,2574,2595,2329,0,0,0,0,0,0,0,0,L
836612,2874,2728,2584,2590,2332,0,0,0,0,0,0,0,0,L
836623,2880,2713,2577,2602,2344,0,0,0,0,0,0,0,0,L
836657,2887,2720,2584,2600,2342,0,0,0,0,0,0,0,0,L
836668,2889,2731,2577,2613,2342,0,0,0,0,0,0,0,0,L
836702,2869,2717,2580,2591,2343,0,0,0,0,0,0,0,0,L
836713,2873,2717,2576,2601,2345,0,0,0,0,0,0,0,0,L
836748,2884,2707,2576,2602,2347,0,0,0,0,0,0,0,0,L
836758,2880,2720,2573,2599,2347,0,0,0,0,0,0,0,0,L
836792,2884,2715,2576,2599,2341,0,0,0,0,0,0,0,0,L
836803,2880,2711,2582,2600,2363,0,0,0,0,0,0,0,0,L
836837,2879,2719,2590,2599,2347,0,0,0,0,0,0,0,0,L
836882,2879,2720,2583,2589,2335,0,0,0,0,0,0,0,0,L
836893,2878,2721,2586,2596,2341,0,0,0,0,0,0,0,0,L
836927,2878,2721,2569,2591,2332,0,0,0,0,0,0,0,0,L
836938,2880,2714,2580,2605,2342,0,0,0,0,0,0,0,0,L
836972,2877,2714,2584,2597,2348,0,0,0,0,0,0,0,0,L
836983,2879,2720,2572,2598,2345,0,0,0,0,0,0,0,0,L
837017,2886,2723,2571,2599,2331,0,0,0,0,0,0,0,0,L
837028,2870,2731,2576,2600,2339,0,0,0,0,0,0,0,0,L
837062,2882,2720,2579,2591,2354,0,0,0,0,0,0,0,0,L
837073,2896,2726,2575,2595,2347,0,0,0,0,0,0,0,0,L
837107,2884,2715,2579,2600,2321,0,0,0,0,0,0,0,0,L
837118,2892,2726,2584,2604,2347,0,0,0,0,0,0,0,0,L
837152,2881,2720,2578,2596,2344,0,0,0,0,0,0,0,0,L
837163,2884,2720,2578,2603,2342,0,0,0,0,0,0,0,0,L
837197,2890,2729,2588,2597,2350,0,0,0,0,0,0,0,0,L
837208,2885,2721,2580,2605,2333,0,0,0,0,0,0,0,0,L
837242,2885,2721,2567,2604,2324,0,0,0,0,0,0,0,0,L
837253,2888,2719,2573,2592,2334,0,0,0,0,0,0,0,0,L
837287,2888,2723,2570,2601,2356,0,0,0,0,0,0,0,0,L
837298,2885,2725,2582,2600,2340,0,0,0,0,0,0,0,0,L
837332,2882,2716,2573,2589,2324,0,0,0,0,0,0,0,0,L
837343,2896,2716,2573,2600,2366,0,0,0,0,0,0,0,0,L
837377,2891,2718,2571,2600,2347,0,0,0,0,0,0,0,0,L
837388,2886,2711,2564,2599,2331,0,0,0,0,0,0,0,0,L
837422,2900,2725,2580,2597,2345,0,0,0,0,0,0,0,0,L
837433,2887,2724,2571,2582,2339,0,0,0,0,0,0,0,0,L
837467,2882,2723,2576,2597,2360,0,0,0,0,0,0,0,0,L
837478,2888,2721,2576,2587,2339,0,0,0,0,0,0,0,0,L
837512,2892,2713,2579,2599,2327,0,0,0,0,0,0,0,0,L
837523,2882,2713,2581,2598,2347,0,0,0,0,0,0,0,0,L
837557,2889,2711,2575,2600,2360,0,0,0,0,0,0,0,0,L
837568,2885,2720,2585,2603,2339,0,0,0,0,0,0,0,0,L
837602,2899,2723,2569,2593,2335,0,0,0,0,0,0,0,0,L
837613,2884,2719,2586,2599,2363,0,0,0,0,0,0,0,0,L
837647,2875,2727,2578,2601,2352,0,0,0,0,0,0,0,0,L
837658,2887,2720,2569,2595,2341,0,0,0,0,0,0,0,0,L
837692,2891,2724,2584,2600,2342,0,0,0,0,0,0,0,0,L
837703,2885,2724,2574,2598,2356,0,0,0,0,0,0,0,0,L
837737,2888,2723,2573,2592,2318,0,0,0,0,0,0,0,0,L
837748,2887,2717,2579,2600,2344,0,0,0,0,0,0,0,0,L
837782,2883,2726,2591,2594,2342,0,0,0,0,0,0,0,0,L
837793,2889,2728,2579,2607,2349,0,0,0,0,0,0,0,0,L
837827,2902,2724,2568,2600,2339,0,0,0,0,0,0,0,0,L
837838,2889,2721,2578,2603,2342,0,0,0,0,0,0,0,0,L
837872,2892,2724,2583,2603,2351,0,0,0,0,0,0,0,0,L
837883,2882,2715,2576,2602,2319,0,0,0,0,0,0,0,0,L
837917,2888,2719,2581,2595,2339,0,0,0,0,0,0,0,0,L
837928,2888,2715,2574,2588,2341,0,0,0,0,0,0,0,0,L
837962,2887,2728,2586,2601,2356,0,0,0,0,0,0,0,0,L
837973,2891,2722,2584,2595,2349,0,0,0,0,0,0,0,0,L
838007,2887,2731,2583,2581,2361,0,0,0,0,0,0,0,0,L
838018,2896,2730,2585,2596,2352,0,0,0,0,0,0,0,0,L
838052,2881,2718,2581,2594,2346,0,0,0,0,0,0,0,0,L
838063,2885,2723,2587,2587,2364,0,0,0,0,0,0,0,0,L
838097,2893,2721,2585,2587,2358,0,0,0,0,0,0,0,0,L
838108,2896,2721,2561,2608,2332,0,0,0,0,0,0,0,0,L
838142,2897,2728,2581,2602,2349,0,0,0,0,0,0,0,0,L
838153,2887,2716,2586,2593,2353,0,0,0,0,0,0,0,0,L
838187,2894,2724,2583,2596,2351,0,0,0,0,0,0,0,0,L
838198,2895,2713,2575,2602,2335,0,0,0,0,0,0,0,0,L
838232,2888,2717,2574,2589,2344,0,0,0,0,0,0,0,0,L
838243,2897,2725,2594,2594,2354,0,0,0,0,0,0,0,0,L
