t_ms,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pitch,Roll,Sign
853262,2731,2164,2744,2757,2578,0,0,0,0,0,0,0,0,O
853272,2724,2163,2754,2748,2577,0,0,0,0,0,0,0,0,O
853307,2723,2169,2742,2756,2583,0,0,0,0,0,0,0,0,O
853317,2733,2140,2748,2749,2591,0,0,0,0,0,0,0,0,O
853352,2724,2153,2735,2746,2570,0,0,0,0,0,0,0,0,O
853362,2736,2162,2736,2754,2566,0,0,0,0,0,0,0,0,O
853397,2723,2150,2754,2751,2586,0,0,0,0,0,0,0,0,O
853407,2730,2156,2743,2755,2579,0,0,0,0,0,0,0,0,O
853442,2734,2165,2752,2751,2568,0,0,0,0,0,0,0,0,O
853452,2734,2151,2747,2752,2575,0,0,0,0,0,0,0,0,O
853487,2734,2147,2748,2761,2571,0,0,0,0,0,0,0,0,O
853497,2752,2156,2756,2751,2571,0,0,0,0,0,0,0,0,O
853532,2735,2167,2745,2760,2600,0,0,0,0,0,0,0,0,O
853542,2731,2154,2749,2751,2610,0,0,0,0,0,0,0,0,O
853577,2731,2154,2745,2745,2584,0,0,0,0,0,0,0,0,O
853587,2727,2154,2753,2755,2578,0,0,0,0,0,0,0,0,O
853622,2719,2150,2739,2746,2586,0,0,0,0,0,0,0,0,O
853632,2727,2151,2747,2752,2592,0,0,0,0,0,0,0,0,O
853667,2733,2152,2754,2754,2584,0,0,0,0,0,0,0,0,O
853677,2731,2148,2749,2743,2574,0,0,0,0,0,0,0,0,O
853712,2727,2158,2748,2743,2586,0,0,0,0,0,0,0,0,O
853722,2736,2143,2744,2751,2575,0,0,0,0,0,0,0,0,O
853757,2727,2160,2748,2751,2582,0,0,0,0,0,0,0,0,O
853767,2734,2157,2754,2752,2584,0,0,0,0,0,0,0,0,O
853802,2732,2151,2736,2760,2580,0,0,0,0,0,0,0,0,O
853812,2731,2173,2764,2752,2585,0,0,0,0,0,0,0,0,O
853847,2735,2159,2739,2743,2591,0,0,0,0,0,0,0,0,O
853857,2736,2155,2739,2760,2579,0,0,0,0,0,0,0,0,O
853892,2730,2168,2739,2753,2571,0,0,0,0,0,0,0,0,O
853902,2729,2152,2739,2748,2580,0,0,0,0,0,0,0,0,O
853937,2739,2184,2747,2736,2563,0,0,0,0,0,0,0,0,O
853947,2735,2159,2741,2760,2583,0,0,0,0,0,0,0,0,O
853982,2726,2134,2749,2745,2580,0,0,0,0,0,0,0,0,O
853992,2732,2164,2752,2739,2581,0,0,0,0,0,0,0,0,O
854027,2735,2151,2745,2749,2573,0,0,0,0,0,0,0,0,O
854037,2722,2156,2752,2747,2585,0,0,0,0,0,0,0,0,O
854072,2722,2149,2746,2738,2572,0,0,0,0,0,0,0,0,O
854082,2730,2160,2748,2750,2595,0,0,0,0,0,0,0,0,O
854117,2735,2156,2744,2762,2581,0,0,0,0,0,0,0,0,O
854162,2733,2162,2756,2752,2579,0,0,0,0,0,0,0,0,O
854172,2726,2151,2736,2755,2586,0,0,0,0,0,0,0,0,O
854207,2732,2161,2748,2754,2580,0,0,0,0,0,0,0,0,O
854217,2734,2159,2746,2760,2591,0,0,0,0,0,0,0,0,O
854252,2736,2163,2748,2747,2584,0,0,0,0,0,0,0,0,O
854262,2736,2159,2743,2749,2580,0,0,0,0,0,0,0,0,O
854297,2735,2168,2749,2758,2587,0,0,0,0,0,0,0,0,O
854307,2740,2161,2739,2745,2592,0,0,0,0,0,0,0,0,O
854342,2736,2151,2741,2739,2580,0,0,0,0,0,0,0,0,O
854352,2727,2149,2743,2750,2585,0,0,0,0,0,0,0,0,O
854387,2733,2158,2742,2754,2590,0,0,0,0,0,0,0,0,O
