t_ms,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pitch,Roll,Sign
1371295,2569,1743,2463,2544,2334,0,0,0,0,0,0,0,0,S
1371305,2590,1755,2470,2539,2327,0,0,0,0,0,0,0,0,S
1371340,2579,1735,2454,2539,2316,0,0,0,0,0,0,0,0,S
1371351,2567,1744,2473,2534,2323,0,0,0,0,0,0,0,0,S
1371385,2576,1732,2462,2541,2323,0,0,0,0,0,0,0,0,S
1371395,2592,1760,2467,2541,2322,0,0,0,0,0,0,0,0,S
1371430,2566,1749,2454,2540,2310,0,0,0,0,0,0,0,0,S
1371441,2579,1733,2459,2533,2315,0,0,0,0,0,0,0,0,S
1371475,2573,1747,2460,2530,2323,0,0,0,0,0,0,0,0,S
1371486,2576,1756,2471,2537,2315,0,0,0,0,0,0,0,0,S
1371520,2577,1739,2462,2526,2311,0,0,0,0,0,0,0,0,S
1371531,2578,1769,2474,2543,2325,0,0,0,0,0,0,0,0,S
1371565,2585,1715,2459,2530,2320,0,0,0,0,0,0,0,0,S
1371576,2563,1768,2468,2536,2320,0,0,0,0,0,0,0,0,S
1371610,2589,1775,2466,2536,2316,0,0,0,0,0,0,0,0,S
1371621,2580,1732,2456,2542,2327,0,0,0,0,0,0,0,0,S
1371655,2577,1770,2466,2535,2322,0,0,0,0,0,0,0,0,S
1371666,2580,1731,2451,2537,2314,0,0,0,0,0,0,0,0,S
1371700,2574,1750,2465,2544,2312,0,0,0,0,0,0,0,0,S
1371710,2563,1754,2464,2537,2323,0,0,0,0,0,0,0,0,S
1371745,2573,1749,2465,2535,2321,0,0,0,0,0,0,0,0,S
1371756,2580,1772,2465,2539,2321,0,0,0,0,0,0,0,0,S
1371790,2586,1773,2472,2543,2320,0,0,0,0,0,0,0,0,S
1371800,2582,1751,2465,2536,2320,0,0,0,0,0,0,0,0,S
1371835,2582,1742,2462,2542,2310,0,0,0,0,0,0,0,0,S
1371846,2579,1742,2463,2541,2321,0,0,0,0,0,0,0,0,S
1371880,2571,1720,2460,2524,2324,0,0,0,0,0,0,0,0,S
1371890,2573,1763,2464,2535,2335,0,0,0,0,0,0,0,0,S
1371925,2572,1747,2480,2539,2320,0,0,0,0,0,0,0,0,S
1371936,2582,1775,2481,2534,2313,0,0,0,0,0,0,0,0,S
1371970,2581,1735,2465,2535,2325,0,0,0,0,0,0,0,0,S
1371980,2574,1732,2469,2538,2323,0,0,0,0,0,0,0,0,S
1372016,2579,1711,2472,2544,2323,0,0,0,0,0,0,0,0,S
1372026,2596,1730,2465,2534,2327,0,0,0,0,0,0,0,0,S
1372060,2577,1776,2464,2533,2331,0,0,0,0,0,0,0,0,S
1372070,2579,1745,2477,2548,2322,0,0,0,0,0,0,0,0,S
1372105,2580,1764,2472,2538,2324,0,0,0,0,0,0,0,0,S
1372115,2592,1726,2470,2552,2329,0,0,0,0,0,0,0,0,S
1372150,2584,1751,2472,2543,2312,0,0,0,0,0,0,0,0,S
1372161,2583,1769,2468,2540,2321,0,0,0,0,0,0,0,0,S
1372195,2583,1748,2455,2524,2324,0,0,0,0,0,0,0,0,S
1372205,2592,1760,2469,2528,2326,0,0,0,0,0,0,0,0,S
1372240,2579,1776,2466,2543,2328,0,0,0,0,0,0,0,0,S
1372251,2576,1753,2469,2550,2318,0,0,0,0,0,0,0,0,S
1372285,2588,1771,2481,2536,2346,0,0,0,0,0,0,0,0,S
1372295,2586,1765,2463,2537,2324,0,0,0,0,0,0,0,0,S
1372330,2579,1756,2467,2539,2332,0,0,0,0,0,0,0,0,S
1372341,2587,1766,2463,2539,2324,0,0,0,0,0,0,0,0,S
1372375,2583,1762,2468,2543,2321,0,0,0,0,0,0,0,0,S
1372385,2591,1757,2471,2542,2303,0,0,0,0,0,0,0,0,S
1372420,2572,1747,2469,2534,2328,0,0,0,0,0,0,0,0,S
1372430,2584,1739,2461,2543,2315,0,0,0,0,0,0,0,0,S
1372465,2596,1723,2469,2537,2324,0,0,0,0,0,0,0,0,S
1372475,2578,1776,2473,2542,2310,0,0,0,0,0,0,0,0,S
1372510,2588,1765,2468,2539,2336,0,0,0,0,0,0,0,0,S
1372555,2588,1749,2476,2535,2327,0,0,0,0,0,0,0,0,S
1372565,2585,1752,2471,2546,2338,0,0,0,0,0,0,0,0,S
1372600,2583,1749,2466,2537,2316,0,0,0,0,0,0,0,0,S
1372610,2586,1764,2461,2537,2322,0,0,0,0,0,0,0,0,S
1372645,2588,1736,2487,2536,2323,0,0,0,0,0,0,0,0,S
1372655,2575,1763,2459,2535,2326,0,0,0,0,0,0,0,0,S
1372690,2579,1766,2478,2546,2326,0,0,0,0,0,0,0,0,S
1372700,2588,1751,2463,2532,2325,0,0,0,0,0,0,0,0,S
1372735,2582,1759,2481,2545,2317,0,0,0,0,0,0,0,0,S
1372746,2584,1747,2479,2533,2326,0,0,0,0,0,0,0,0,S
1372780,2586,1779,2474,2537,2329,0,0,0,0,0,0,0,0,S
1372790,2600,1754,2477,2543,2331,0,0,0,0,0,0,0,0,S
